date,location,price,last4ccnum,loyaltynum
2014-01-06 08:16:00,Brew've Been Served,14.97,1286,L3572
2014-01-06 12:00:00,Brewed Awakenings,4.35,8332,L2070
2014-01-06 12:00:00,Jack's Magical Beans,18.59,9241,
2014-01-06 07:49:00,Coffee Cameleon,8.39,5921,L3295
2014-01-06 08:00:00,Hallowed Grounds,9.69,6691,
2014-01-06 07:28:00,Brew've Been Served,11.34,4795,L8566
2014-01-06 07:54:00,Hallowed Grounds,16.88,7889,
2014-01-06 07:43:00,Brew've Been Served,9.6,4948,L9406
2014-01-06 12:00:00,Jack's Magical Beans,11.03,6899,
2014-01-06 07:38:00,Brew've Been Served,4.17,5368,L2247
2014-01-06 00:00:00,Gelatogalore,22.64,,L6119
2014-01-06 00:00:00,Hippokampos,34.03,,L6267
2014-01-06 00:00:00,Abila Zacharo,50.14,,L3288
